Latitude,Longitude,Average_dist_F,Average_popularity_F,Average_rating_F,Max_rating_F,Max_popularity_F,Min_rating_F,Min_popularity_F
41.3881248,2.1951871,702.9,0.9895567649527524,8.95,9.3,0.999424633796334,8.7,0.9723621151815449
41.4366871,2.1693134,830.9,0.8662510491971949,8.4,8.6,0.9841808139062627,8.2,0.5033980451087103
41.4091355,2.2088179,779.8,0.9804991471042157,8.66,9.1,0.996439498551431,8.5,0.9610104784339208
41.389462,2.1314948,595.3,0.9585783716459535,8.79,9.1,0.9981317520916254,8.6,0.8857931930793599
41.3917666,2.1532163,725.0,0.9884635691657866,9.219999999999999,9.4,0.9999661549291962,9.1,0.9486502585763409
41.4253643,2.1852073,742.9,0.8617347629491242,8.600000000000001,9.4,0.9827254758616955,8.4,0.5033980451087103
41.4299999,2.190246,442.4,0.9484201120948745,8.479999999999999,9.4,0.9960062816451412,8.0,0.802690006227493
41.3854094,2.1740155,580.2,0.9926143286491756,9.270000000000001,9.4,0.9999120028159099,9.2,0.9694243630357675
41.4433647,2.1906302,706.4,0.9657271275011509,7.909999999999999,8.2,0.9996547802778003,7.5,0.9267728048087076
41.4075013,2.1930174,674.6,0.9618843581620773,8.95,9.3,0.9935152844339751,8.8,0.8945861424742101
41.4432762,2.1746238,792.6,0.8898214334064388,7.8100000000000005,8.5,0.9940229604960333,7.4,0.34098908834917285
41.4230551,2.1913753,775.7,0.9233091002626377,8.35,9.4,0.9960062816451412,8.1,0.802690006227493
41.433384,2.1716309,683.0,0.8410439173638752,8.48,8.7,0.9841808139062627,8.4,0.5033980451087103
41.3834802,2.1482099,723.1,0.9860179243494978,9.11,9.4,0.9999323098583922,9.0,0.9606652587117213
41.4297231,2.1617032,345.7,0.9115838139333388,8.43,8.7,0.9841808139062627,8.3,0.6033966913058783
41.3873901,2.1875446,734.0,0.9920308396285165,9.209999999999999,9.4,0.9999120028159099,9.1,0.9723621151815449
41.3775319,2.1707321,571.6,0.9892291446673707,9.209999999999999,9.3,0.999878157745106,9.1,0.9694243630357675
41.3781065,2.1696744,558.4,0.9892352367801154,9.189999999999998,9.3,0.999878157745106,9.1,0.9694243630357675
41.380628,2.1822815,723.2,0.9918555221617524,9.19,9.4,0.999878157745106,9.1,0.9784880729970488
41.3751161,2.1523091,532.4,0.9910662551106058,9.129999999999999,9.3,0.9999323098583922,9.0,0.9715498334822517
41.4090202,2.1954152,800.5,0.9629775539490428,8.919999999999998,9.3,0.9935152844339751,8.7,0.8945861424742101
41.4180789,2.1763994,667.9,0.9430062545690847,8.75,9.4,0.9983754366014134,8.4,0.8880337367665773
41.4113024,2.1987258,914.1,0.9707429669942869,8.74,8.9,0.9956272168521376,8.6,0.9059513172501557
41.4172922,2.1844769,636.9,0.9357018113881894,8.56,8.9,0.9919381041345139,8.3,0.8880337367665773
41.3939378,2.1380304,588.5,0.9557191400644409,8.709999999999999,9.0,0.9952684591016164,8.6,0.9159626891939457
41.382335,2.187093,659.7,0.9885542739555412,9.159999999999998,9.3,0.999424633796334,9.1,0.9695191292340184
41.4092333,2.1557747,664.4,0.9724880188449353,9.000000000000002,9.1,0.9967982563019522,8.9,0.9100668778599085
41.3754188,2.1297823,617.0,0.9618376519643679,8.95,9.2,0.9998443126743021,8.8,0.8990943059052879
41.410098,2.1884487,411.3,0.9578243034684426,8.77,9.0,0.9956272168521376,8.6,0.8880337367665773
41.4183999,2.2058133,537.5,0.932085804023502,8.01,8.5,0.9747921912652642,7.6,0.8745769366149514
41.4022657,2.1976297,443.5,0.9731764275850866,9.100000000000001,9.3,0.9989304957625972,8.9,0.8945861424742101
41.4306102,2.1564551,509.4,0.9104418812444155,8.43,8.7,0.9749004954918365,8.3,0.6033966913058783
41.3751866,2.1568773,610.5,0.9812376465491564,9.16,9.3,0.9999323098583922,9.0,0.9031489453875937
41.4060589,2.1740472,425.8,0.9949354236049063,9.249999999999998,9.5,0.9999796929575177,9.0,0.9719085912327728
41.3545425,2.1433038,572.5,0.9535043186310345,7.18,8.7,0.9825697885359976,6.7,0.8988235453388569
41.3977227,2.1194557,611.7,0.9011859312809684,8.559999999999999,9.3,0.9948013971245228,8.3,0.5667018655403027
41.4333259,2.1629258,522.3,0.9115838139333388,8.43,8.7,0.9841808139062627,8.3,0.6033966913058783
41.426925,2.1786224,584.7,0.862151057320012,8.57,9.4,0.9841808139062627,8.2,0.5033980451087103
41.4216738,2.1799878,580.6,0.9107112880080145,8.56,9.0,0.9959047464327295,8.3,0.7405233801749114
41.4268952,2.1842572,682.0,0.8617347629491242,8.600000000000001,9.4,0.9827254758616955,8.4,0.5033980451087103
41.4283127,2.1629889,430.2,0.9115838139333388,8.43,8.7,0.9841808139062627,8.3,0.6033966913058783
41.3934324,2.115107,610.8,0.9161583137031923,8.58,9.3,0.9948013971245228,8.2,0.5667018655403027
41.3812111,2.1190863,566.4,0.9662612027184361,8.690000000000001,9.2,0.9998443126743021,8.5,0.8990943059052879
41.3875297,2.1237141,715.0,0.9744530636558091,8.83,9.3,0.9998443126743021,8.5,0.8857931930793599
41.3812001,2.1323612,647.3,0.9714672515094902,9.03,9.2,0.9998443126743021,8.8,0.910567784907806
41.381316,2.181903,745.2,0.9934699320390978,9.2,9.4,0.999878157745106,9.1,0.9784880729970488
41.3783467,2.1633139,685.0,0.9894538759375087,9.189999999999998,9.3,0.999878157745106,9.1,0.9694243630357675
41.381219,2.141767,781.2,0.9773962310129152,9.08,9.2,0.9999323098583922,9.0,0.9373121598570384
