Station Name,Latitude,Longitude,Number of Bikes
PL. ICTÍNEO,41.3776292,2.1836886,20
"C/ ARGENTERA, 23",41.4117633,2.1453424,4
"C/ PABLO IGLESIAS, 21",41.443387,2.1813051,0
"PL. DEL NORD, 5",41.4068417,2.1558354,1
"C/ JOSEP PLA, 67",41.411381,2.2122054,16
"AV. RIO DE JANEIRO, 118",41.442489,2.185727,5
"GRAN VIA DE LES CORTS CATALANES, 592",41.3863747,2.1646697,5
"LA RAMBLA, 2 (MUSEO DE CERA)",41.377187,2.176757,22
"C/ CRISTOBAL DE MOURA, 84",41.410712,2.2061691,5
"C/ MEJÍA LEQUERICA, 2",41.3819739,2.1268625,2
"C/ VALLESPIR, 13",41.378118,2.1378667,4
"ESPAIS NATURALS-C/ TARRAGONA, 103-115",41.3763948,2.1473272,17
"C/ LLULL, 465",41.4132316,2.2177652,15
"C/ BILBAO, 2",41.4008312,2.206645,20
"C/ CASTILLEJOS, 388",41.412427,2.170592,1
"C/ 60, NÚMERO 25",41.3467746,2.1436235,15
"C/ ESTEVE TERRADAS, 42",41.4144967,2.1402433,4
"C/ PALAMÓS, 33",41.446923,2.184857,10
"AV. JOSEP TARRADELLAS, 27",41.3829333,2.1420704,3
"C/ PUJADES, 311/ FLUVIÀ",41.4070139,2.2074469,5
"C/ ALT DE GIRONELLA, 13",41.3949601,2.1302775,1
"C/ RAMON TRIAS FARGAS, 21",41.3902194,2.1904003,9
"CARRER DEL CINCA, 7",41.4356895,2.1920873,21
"C/ ONZE DE SETEMBRE, 37-39",41.4298614,2.1922011,7
"C/ ROSA SENSAT, 12",41.3906051,2.1972309,3
"C/ ROSA SENSAT, 20",41.3910756,2.1965766,13
"C/ VILAMARÍ, 85",41.3807072,2.1468381,4
"GRAN VIA DE LES CORTS CATALANES, 368",41.3743329,2.1479385,22
"C/ DE RIBES, 59 B",41.39828,2.1830315,7
"C/ PALLARS, 504",41.4140598,2.2150487,15
"C/ VALLESPIR, 194",41.3847113,2.1334379,1
"RAMBLA  DE GUIPÚSCOA, 158/ CA N'OLIVA",41.4227912,2.2060317,9
"RAMBLA DEL BRASIL, 5",41.3759419,2.1299539,0
"AV. D'EDUARD MARISTANY, 1 /FORUM",41.4109763,2.2193724,30
"C/ MALATS, 98-100",41.4366708,2.186105,2
"C/ RIBES, 77",41.4001015,2.1841711,21
"PG. FABRA I PUIG, 344",41.430623,2.1671068,0
"C/ NOU BARRIS, 23",41.4480464,2.1775154,3
"AV. MARQUÉS DE L'ARGENTERA,  3",41.383597,2.184171,13
"C/ FERNANDO PESSOA, 72",41.4457195,2.1929816,18
"C/ SARDENYA, 494",41.4107641,2.1640965,7
"C/ LOPE DE VEGA, 79",41.4038902,2.2041137,17
"C / INDÚSTRIA, 10",41.4022081,2.1649035,1
"C/ PROVENÇA, 595",41.4105848,2.1826833,5
"C/ SANT HERMENEGILD, 30",41.4031529,2.1445843,2
"C/ MÚRCIA, 1",41.4143392,2.1874539,1
"PL. CATALUNYA, 5",41.387235,2.168819,3
"PORTAL DE SANTA MADRONA, 2-4",41.3770715,2.1758261,23
"C/REPÚBLICA DOMINICANA,25(CENTRE COMERCIAL)",41.439929,2.1970692,14
"C/ ROCAFORT, 214 | C/ ROSSELLÓ",41.3852864,2.1454802,1
"AV. RIO DE JANEIRO, 96",41.439692,2.182335,5
"C/ JOAN GÜELL, 174",41.3839045,2.1312876,2
"C/ JOAN GÜELL, 50",41.3786364,2.1335494,3
"C/ GRANADELLA, 10-19 | C/ SAS",41.4383117,2.2039823,3
SEU DEL DISTRICTE (NOU BARRIS),41.4363473,2.1706752,7
"PG. JOAN DE BORBÓ, 42",41.3779974,2.1884228,5
"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ",41.4431441,2.1996045,12
"C/ DIPUTACIÓ, 200",41.3857425,2.1610515,0
"C/ PERE IV,  301 / FLUVIÀ",41.4093405,2.2024461,2
"C/ LAFORJA, 74-76",41.3976165,2.1471724,0
"C/ SARDENYA, 292",41.4016969,2.175767,2
"C/ PAU ALCOVER, 94",41.401883,2.131524,3
"C/ PEDRELL, 52",41.4246548,2.166289,4
"C/ TURÓ BLAU, 1-3",41.4388223,2.1767828,1
"PG. UNIVERSAL, 29 | C/ DOCTOR LETAMENDI",41.4372022,2.1620235,2
"C/ CASTELLNOU, 65",41.3970497,2.1279409,2
"C/ BRUC, 66",41.393489,2.1707419,10
"C/ SANT FRANCESC XAVIER, 1",41.4417001,2.1781553,6
"C/ DE MALADETA, 1",41.4315843,2.1769107,0
"LA RAMBLA, 75",41.3811389,2.1729755,4
"C/ DE SANT PAU, 89 - 97",41.3768806,2.1698206,11
"VIA FAVÈNCIA, 186",41.4427374,2.170393,4
"C/ RECTOR UBACH, 24",41.3985735,2.1440826,1
"C/ PONTEVEDRA, 58B | C/ JUDICI",41.37686,2.19067,2
"RAMBLA DEL RAVAL, 13",41.3793558,2.1689592,8
"PL. URQUINAONA, 3",41.3893094,2.1727457,16
"C/ SELVA DE MAR, 230",41.417694,2.1976864,7
"GRAN VIA DE LES CORTS CATALANES,  1062",41.4139298,2.2017955,2
"RAMBLA DE GUIPÚSCOA, 43/FLUVIÀ",41.4158412,2.1959771,9
"C/ VILLENA, 1",41.38860659692564,2.1921945084594707,28
"C/ REUS, 23",41.4050074,2.134603,0
"AV. MERIDIANA, 40",41.3960652,2.1871959,1
"C/ MIREIA, 28",41.4513863,2.1894717,6
"C/ SARDENYA, 402",41.4072349,2.1684799,4
"C/ JOSEP ESTIVILL, 32",41.4175595,2.1877153,1
"AV. CAN MARCET, 36",41.4347859,2.147904,0
"C/ ESCULTOR LLIMONA, 7",41.4276076,2.1697582,2
"PG. TORRAS I BAGES, 29",41.4378773,2.1910691,7
"PG. VALLDAURA, 171",41.4389014,2.1715576,5
"GRAN VIA DE LES CORTS CATALANES, 179 (D)",41.3675574,2.1388216,8
"PL. JOAQUIM XIRAU I PALAU, 1",41.3785379,2.1767427,13
"C/ ROSSELLÓ, 354",41.4031491,2.1707947,2
"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",41.3982304,2.1531031,2
"C/ PALÈNCIA, 31",41.4182129,2.1904005,6
"C/ GARRIGA I ROCA, 2",41.4191957,2.1718497,0
"C/ VILAMARÍ, 2",41.3755016,2.154004,11
"PL. DELS JARDINS D'ALFÀBIA, 1",41.4373376,2.1740962,10
"C/ ALFAMBRA, 2 | AV. DIAGONAL",41.385641,2.113096,1
"C/ DEL TORRENT DE LES FLORS, 102",41.4078456,2.1586704,1
"C/ LEPANT,  278",41.4047056,2.1765126,1
"C/ PARE MARIANA, 24",41.4306689,2.1456449,0
"RONDA DE SANT PAU, 51",41.3773113,2.1646742,0
"GRAN DE GRÀCIA, 155 (METRO FONTANA)",41.4025392,2.1524704,0
