Average_rating_F,Average_dist_F,Average_popularity_F,Number of Bikes
8.95,702.9,0.9895567649527524,14
8.66,779.8,0.9804991471042156,5
8.79,595.3,0.9585783716459536,0
9.22,725.0,0.9884635691657866,0
8.479999999999999,442.4,0.9484201120948744,8
9.27,580.2,0.9926143286491756,7
7.909999999999999,706.4,0.9657271275011508,14
8.95,674.6,0.9618843581620772,11
8.35,775.7,0.9233091002626376,10
9.11,723.1,0.9860179243494978,3
9.21,734.0,0.9920308396285163,4
9.21,571.6,0.9892291446673708,1
9.189999999999998,558.4,0.9892352367801154,18
9.19,723.2,0.9918555221617524,16
9.13,532.4,0.9910662551106058,4
8.919999999999998,800.5,0.9629775539490428,21
8.75,667.9,0.9430062545690848,2
8.74,914.1,0.9707429669942867,3
8.56,636.9,0.9357018113881894,6
8.709999999999999,588.5,0.9557191400644408,0
9.159999999999998,659.7,0.9885542739555412,12
9.000000000000002,664.4,0.9724880188449352,4
8.95,617.0,0.961837651964368,0
8.01,537.5,0.932085804023502,2
9.1,443.5,0.9731764275850866,23
9.16,610.5,0.9812376465491564,8
9.249999999999998,425.8,0.9949354236049064,1
8.43,522.3,0.9115838139333388,4
8.43,430.2,0.9115838139333388,2
8.58,610.8,0.9161583137031925,0
8.690000000000001,566.4,0.966261202718436,4
8.83,715.0,0.9744530636558092,0
9.03,647.3,0.9714672515094902,0
9.2,745.2,0.9934699320390978,5
9.189999999999998,685.0,0.9894538759375088,20
9.08,781.2,0.9773962310129152,2
8.01,714.9,0.937847588877156,0
8.919999999999998,629.7,0.9656932824303468,1
8.33,767.1,0.9612684883879634,7
9.14,668.1,0.9757967129667235,1
9.14,730.4,0.9868674356266752,10
9.179999999999998,726.2,0.9873026832372136,4
8.05,582.5,0.9343371781333768,5
9.21,670.8,0.9892291446673708,5
8.45,631.4,0.9551640809032572,21
8.55,758.3,0.9310115614761864,0
9.090000000000002,728.0,0.9871923483063926,2
9.260000000000002,738.9,0.987614057888609,2
8.500000000000002,696.0,0.9310406682370778,0
9.24,573.9,0.989755773969079,2
9.27,609.0,0.9913864294804104,1
7.719999999999999,633.2,0.9379267863428368,2
8.95,668.4,0.961837651964368,1
8.919999999999998,746.5,0.9678309371023204,1
9.259999999999998,506.9,0.9939193945793736,0
9.31,674.8,0.9960326808003682,0
9.03,701.3,0.9667052500473832,1
9.179999999999998,761.1,0.988882571142339,3
8.03,872.9,0.963386025470912,20
9.259999999999998,809.7,0.9939193945793736,1
9.19,719.5,0.9918555221617524,18
9.2,744.4,0.9934699320390978,18
9.34,780.8,0.9987572090000812,4
