Latitude,Longitude,Average_dist_F,Average_popularity_F,Average_rating_F,Max_rating_F,Max_popularity_F,Min_rating_F,Min_popularity_F
41.3881248,2.1951871,672.1,0.9891904520060946,8.95,9.3,0.9994244117149145,8.7,0.9741527001862197
41.4366871,2.1693134,840.8,0.8328674454037582,8.39,8.6,0.9834772304046047,8.2,0.2530760115117657
41.4091355,2.2088179,711.7,0.9797934653800576,8.66,9.1,0.99643135263247,8.4,0.9611782630777044
41.389462,2.1314948,549.4,0.9657497883866599,8.779999999999998,9.0,0.9982800067716269,8.6,0.9244015574741832
41.3917666,2.1532163,760.7,0.9892216014897578,9.23,9.4,0.9999661418655832,9.1,0.9445471474521754
41.4253643,2.1852073,765.0,0.7744276282376841,8.610000000000001,9.4,0.9829558151345861,8.4,0.16634501438970714
41.4299999,2.190246,409.9,0.924697477568986,8.5,9.4,0.9963230066023362,8.0,0.5636295920094803
41.3854094,2.1740155,580.2,0.992725918401896,9.280000000000001,9.4,0.9999119688505164,9.2,0.9683087861858811
41.4433647,2.1906302,701.5,0.924816658202133,7.919999999999999,8.5,0.9996749619095988,7.5,0.5288302014558998
41.4075013,2.1930174,735.4,0.9613942779752837,8.94,9.4,0.9935330963263924,8.8,0.8863111562552903
41.4432762,2.1746238,792.6,0.8977010326730998,7.790000000000001,8.4,0.9942915185373286,7.4,0.44640595903165736
41.4230551,2.1913753,799.7,0.8924090062637549,8.34,9.4,0.9963230066023362,8.1,0.5636295920094803
41.433384,2.1716309,665.1,0.751657355679702,8.49,8.7,0.9834772304046047,8.4,0.16634501438970714
41.3834802,2.1482099,732.6,0.9805627221940071,9.120000000000001,9.4,0.9999322837311664,9.0,0.9378567800914169
41.4297231,2.1617032,303.2,0.8766778398510242,8.43,8.7,0.9834772304046047,8.3,0.2530760115117657
41.3873901,2.1875446,734.0,0.9925193837819538,9.23,9.4,0.9999119688505164,9.1,0.9741527001862197
41.3775319,2.1707321,537.5,0.9899746063991873,9.22,9.3,0.9998781107160996,9.1,0.9683087861858811
41.3781065,2.1696744,536.0,0.9900233621127474,9.2,9.3,0.9998781107160996,9.1,0.9683087861858811
41.3783067,2.1297303,644.1,0.9652425935330962,9.02,9.2,0.9998510242085661,8.9,0.9009446419502285
41.380628,2.1822815,723.2,0.9923433214829863,9.179999999999998,9.4,0.9998781107160996,9.1,0.9803893685457932
41.3751161,2.1523091,597.3,0.9799492127983749,9.139999999999999,9.4,0.9999322837311664,9.0,0.875300490942949
41.4090202,2.1954152,798.2,0.9594941594718132,8.91,9.4,0.9935330963263924,8.7,0.8863111562552903
41.4120452,2.1972673,893.6,0.9721002200778737,8.7,8.9,0.995374978838666,8.5,0.9042153377348908
41.4180789,2.1763994,691.2,0.953256136786863,8.770000000000001,9.4,0.998395124428644,8.5,0.8880108346030133
41.4113024,2.1987258,914.1,0.9703653292703572,8.72,8.9,0.995374978838666,8.6,0.9042153377348908
41.3953855,2.1210928,560.4,0.922376841036059,8.54,9.3,0.9949822244794312,8.3,0.7034569155239546
41.4172922,2.1844769,671.7,0.9320528186896903,8.55,8.9,0.9920771965464703,8.3,0.884530218384967
41.3939378,2.1380304,628.1,0.9591576096157102,8.73,9.0,0.9953140341967157,8.6,0.9172913492466566
41.382335,2.187093,644.6,0.9863565261554088,9.159999999999998,9.3,0.9994244117149145,9.1,0.9602370069409175
41.4092333,2.1557747,718.5,0.9718496698831895,8.99,9.1,0.9974335534112071,8.9,0.9073438293550026
41.3754188,2.1297823,617.0,0.9622759437954971,9.0,9.2,0.9998510242085661,8.8,0.9009446419502285
41.410098,2.1884487,457.0,0.9563081090231927,8.739999999999998,8.9,0.9923819197562215,8.6,0.8880108346030133
41.4183999,2.2058133,553.1,0.8426720839681734,8.0,8.5,0.9764482816996783,7.6,0.04627052649399018
41.4022657,2.1976297,443.5,0.9728173353648215,9.120000000000001,9.4,0.9988962248180125,8.9,0.8863111562552903
41.4306102,2.1564551,554.3,0.8756099542915186,8.43,8.7,0.9730489250042322,8.3,0.2530760115117657
41.3751866,2.1568773,622.1,0.9844333841205352,9.169999999999998,9.4,0.9999322837311664,9.1,0.9511427120365668
41.4060589,2.1740472,425.8,0.9948197054342305,9.25,9.5,0.9999796851193499,8.9,0.971383104790926
41.3545425,2.1433038,627.8,0.9528857287963435,7.17,8.6,0.9831386490604368,6.7,0.9013441679363468
41.3977227,2.1194557,611.7,0.9171437277805994,8.52,9.3,0.9949822244794312,8.3,0.7034569155239546
41.4333259,2.1629258,503.1,0.8766778398510242,8.43,8.7,0.9834772304046047,8.3,0.2530760115117657
41.426925,2.1786224,544.5,0.7753478923311324,8.6,9.4,0.9834772304046047,8.3,0.16634501438970714
41.4216738,2.1799878,651.3,0.847385136278991,8.58,9.0,0.9962417470797359,8.3,0.16634501438970714
41.4268952,2.1842572,674.6,0.7744276282376841,8.610000000000001,9.4,0.9829558151345861,8.4,0.16634501438970714
41.4283127,2.1629889,363.8,0.8766778398510242,8.43,8.7,0.9834772304046047,8.3,0.2530760115117657
41.3934324,2.115107,621.8,0.9341154562383613,8.540000000000001,9.3,0.9949822244794312,8.2,0.7034569155239546
41.3812111,2.1190863,566.4,0.9666145251396647,8.73,9.2,0.9998510242085661,8.5,0.9009446419502285
41.3875297,2.1237141,678.2,0.9835760961571017,8.83,9.3,0.9998510242085661,8.5,0.9389402403927544
41.3812001,2.1323612,685.4,0.9676736075842219,9.040000000000001,9.2,0.9998510242085661,8.9,0.9009446419502285
41.381316,2.181903,745.2,0.993838496698832,9.209999999999999,9.4,0.9998781107160996,9.1,0.9803893685457932
41.3783467,2.1633139,729.2,0.9886541391569323,9.22,9.4,0.9998781107160996,9.1,0.9683087861858811
41.381219,2.141767,763.4,0.9779244963602507,9.080000000000002,9.2,0.9999322837311664,9.0,0.9378567800914169
41.4280668,2.1443777,714.9,0.9220700863382426,7.979999999999999,8.5,0.974403250380904,7.5,0.6782596918909768
41.3854466,2.1288753,629.7,0.9654606399187406,8.919999999999998,9.2,0.9998510242085661,8.8,0.9107431860504486
41.4354601,2.2001569,767.1,0.960629522417688,8.36,8.8,0.9996749619095988,8.1,0.875374978838666
41.4006862,2.1543317,660.1,0.972021669206027,9.16,9.4,0.9993837819536143,9.0,0.9073438293550026
41.4275514,2.1659881,691.8,0.8824384628406975,8.680000000000001,9.4,0.9973116641273065,8.4,0.16634501438970714
41.3953011,2.1965965,730.4,0.9871020822752667,9.15,9.4,0.999715591670899,9.0,0.9611444049432877
41.4224015,2.198071,707.2,0.8344316912138142,8.010000000000002,8.2,0.9838835280176063,7.7,0.04627052649399018
41.3847528,2.1546746,678.4,0.9850631454206873,9.179999999999998,9.4,0.9977450482478415,9.1,0.9445471474521754
41.4200135,2.2016699,564.7,0.8466043676993398,8.040000000000001,8.5,0.9764482816996783,7.6,0.04627052649399018
